央视,#genre#
CCTV1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV2,http://39.134.66.110/PLTV/88888888/224/3221225599/index.m3u8
CCTV2,http://219.140.56.34:3333/tsfile/live/0002_1.m3u8
CCTV3,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://219.140.56.34:3333/tsfile/live/1004_1.m3u8
CCTV5,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://219.140.56.34:3333/tsfile/live/1011_1.m3u8
CCTV12,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV14,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8
CCTV16,http://39.134.66.110/PLTV/88888888/224/3221225893/index.m3u8
CCTV17,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8
CCTV13,http://39.134.67.99/PLTV/88888888/224/3221225812/index.m3u8
CCTV13,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV16,http://39.135.138.60:18890/TVOD/88888910/224/3221226230/index.m3u8
CCTV16,http://39.135.138.60:18890/TVOD/88888910/224/3221226233/index.m3u8
CCTV1,video://https://yangshipin.cn/#/tv/home?pid=600001859
CCTV2,video://https://yangshipin.cn/#/tv/home?pid=600001800
CCTV4,video://https://yangshipin.cn/#/tv/home?pid=600001814
CCTV5,video://https://yangshipin.cn/#/tv/home?pid=600001818
CCTV5+,video://https://yangshipin.cn/#/tv/home?pid=600001817
CCTV7,video://https://yangshipin.cn/#/tv/home?pid=600004092
CCTV9,video://https://yangshipin.cn/#/tv/home?pid=600004078
CCTV10,video://https://yangshipin.cn/#/tv/home?pid=600001805
CCTV11,video://https://yangshipin.cn/#/tv/home?pid=600001806
CCTV12,video://https://yangshipin.cn/#/tv/home?pid=600001807
CCTV13,video://https://yangshipin.cn/#/tv/home?pid=600001811
CCTV14,video://https://yangshipin.cn/#/tv/home?pid=600001809
CCTV15,video://https://yangshipin.cn/#/tv/home?pid=600001815
CCTV16,video://https://yangshipin.cn/#/tv/home?pid=600098637
CCTV17,video://https://yangshipin.cn/#/tv/home?pid=600001810
CCTV4k,video://https://yangshipin.cn/#/tv/home?pid=600002264
CGTN,video://https://yangshipin.cn/#/tv/home?pid=600014550
CGTN外语纪录,video://https://yangshipin.cn/#/tv/home?pid=600084781
CGTN法语,video://https://yangshipin.cn/#/tv/home?pid=600084704
CGTN俄语,video://https://yangshipin.cn/#/tv/home?pid=600084758
CGTN阿拉伯语,video://https://yangshipin.cn/#/tv/home?pid=600084782
CGTN西班牙语,video://https://yangshipin.cn/#/tv/home?pid=600002503
CCTV1,http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8
CCTV3,http://39.134.66.46/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.65.179/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.65.181/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.65.173/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.65.183/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://39.134.65.175/PLTV/88888888/224/3221225799/index.m3u8
CCTV5,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://39.134.65.179/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://39.134.65.181/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://39.134.65.173/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+,http://39.134.65.181/PLTV/88888888/224/3221225507/index.m3u8
CCTV5+,http://39.134.65.173/PLTV/88888888/224/3221225507/index.m3u8
